path,asset_type,locale,mime_type,width,height,duration_seconds,size_bytes,sha256,source,approval_status,alt_text
images/en/04-cellar-command-center-en.png,product_screenshot,en,image/png,1274,717,,431130,0c67d180c44314fdffee52eed49f958193fabc177b00716d76f18ba6bf9367d0,authenticated_local_app_testuser1,review_required,"VinOS cellar overview with recorded lot, vessel, fermentation, and chemistry status."
images/en/05-fermentation-tracking-en.png,product_screenshot,en,image/png,1274,717,,462315,4226fa2710d46752af101b8c137de0571a50a99d356ddcca19acb27ae87380ea,authenticated_local_app_testuser1,review_required,VinOS fermentation screen with recorded curves and daily readings.
images/en/06-ai-winemaker-en.png,product_screenshot,en,image/png,1274,717,,400175,743073015fb317cf52acc581dd80f3ab858150ef02d5fdab263d98d7b7ffb136,authenticated_local_app_testuser1,review_required,VinOS AI assistant panel with review-only draft actions beside the cellar workspace.
images/ka/01-dashboard-overview-ka.png,product_screenshot,ka-GE,image/png,1274,717,,386481,16aae63e71f5b7f9ea6ecfc8814ae38c423f3a32d18fa940f10723e820ddb6bf,authenticated_local_app_testuser1,review_required,VinOS-ის ყურადღების დაფა გამოგონილი დემო გაფრთხილებებითა და საოპერაციო პრიორიტეტებით.
images/ka/02-vineyard-operations-ka.png,product_screenshot,ka-GE,image/png,1274,717,,366747,843ec254fd939550e479ba12f0d8788a9d831ff9b644959137c1f0fc0f17d800,authenticated_local_app_testuser1,review_required,VinOS-ის ვენახის მართვის ეკრანი აღრიცხული ნაკვეთების სტატუსითა და საველე ხელსაწყოებით.
images/ka/03-vineyard-intelligence-ka.png,product_screenshot,ka-GE,image/png,1274,717,,526826,4dbd2c063e5e99332e244d29d9c804fefe10de50a8f827767966be1a9f61434c,authenticated_local_app_testuser1,review_required,VinOS-ის აგროამინდის ეკრანი პროგნოზის მონაცემებითა და წესებზე დაფუძნებული რისკის ინდიკატორებით.
images/ka/04-cellar-command-center-ka.png,product_screenshot,ka-GE,image/png,1274,717,,486542,7be181b4954807ff0e72fbfe6aacfe023066f6cbfd9d88c12868ac32b4b88cb3,authenticated_local_app_testuser1,review_required,"VinOS-ის მარნის მიმოხილვა პარტიების, ჭურჭლის, დუღილისა და ქიმიის აღრიცხული სტატუსით."
images/ka/05-fermentation-tracking-ka.png,product_screenshot,ka-GE,image/png,1274,717,,488265,bec7c043c77beebb0e31c571b009ac54b6ec84623aa003c5f81d6d75f274b8f4,authenticated_local_app_testuser1,review_required,VinOS-ის დუღილის ეკრანი აღრიცხული მრუდებითა და დღიური ჩანაწერებით.
images/ka/06-ai-winemaker-ka.png,product_screenshot,ka-GE,image/png,1274,717,,378064,e8ecac0ed896a4ddb3b39f6e6ad855ab39bc7000fae30818dc3b203505b236d5,authenticated_local_app_testuser1,review_required,VinOS-ის AI ასისტენტის პანელი ადამიანის მიერ გადასამოწმებელი სამუშაო ვერსიებით მარნის სივრცის გვერდით.
licenses/asset-sources.md,provenance_document,n/a,text/markdown,,,,1598,6b6e1885ffab011e0243855b7d7daa524575b114a07e40774791ff6d375be30c,authored,review_required,
licenses/image-generation-prompts.md,provenance_document,n/a,text/markdown,,,,4300,1389924a3687e2fdfe7dedff8511cc7c79efe2df56530f441fc5be978139776f,authored,review_required,
marketing-facts.md,marketing_fact_sheet,n/a,text/markdown,,,,3083,05adbfea259e8748b027b6227cd935443b6aa54c0a2e0431988852cf903754ae,repository_evidence_authored,review_required,
photos/01-kakheti-vineyard-operations-hero.png,campaign_photo,language-neutral,image/png,1672,941,,1920441,096fc15c450f8d646b39eab852f54ef550fe13a99d04eeb0fdb27e7dc13bc363,openai_builtin_imagegen,review_required,Vineyard manager reviewing a tablet among Kakheti vineyard rows at sunrise.
photos/02-qvevri-cellar-operations-hero.png,campaign_photo,language-neutral,image/png,1672,941,,2496377,837ed6573b31e8781a66d4257cefc66df2549b21e6080d24c23afe3790c0d453,openai_builtin_imagegen,review_required,Winemaker using a tablet while inspecting an open qvevri in a Georgian cellar.
photos/03-modern-cellar-lab-operations-hero.png,campaign_photo,language-neutral,image/png,1672,941,,2181407,613e5c83e3454f125bd9e04841688f66476fb40d92ef4f935ab8206833f240e6,openai_builtin_imagegen,review_required,Winemaker taking a laboratory sample beside stainless-steel fermentation tanks.
photos/contact-sheet.png,campaign_photo_contact_sheet,language-neutral,image/png,1920,1080,,1692787,ce712a106242aa655d019080a3b35d3cff5f880610b4d8b501f9634c7f19c9a0,derived_from_imagegen,review_required,"Three VinOS campaign photographs showing vineyard, qvevri cellar, and laboratory work."
posters/vinos-product-tour-en-cover.png,video_poster,en,image/png,1280,720,,35813,2e432b967925c2b81b4668c2a485d27f8d7ac041ddb93953ec40cea8c943268b,derived_from_product_screens,review_required,English VinOS product-tour cover with vineyard-to-bottle campaign headline.
posters/vinos-product-tour-ka-cover.png,video_poster,ka-GE,image/png,1280,720,,59384,c11927bfc0d3c1de7a4156d92ebdeb383045f538c702506625fff0fc02b0bbce,derived_from_product_screens,review_required,VinOS-ის ქართული პროდუქტის ვიდეოს ყდა კამპანიის სათაურით — ვენახიდან ბოთლამდე.
README.md,documentation,n/a,text/markdown,,,,3161,fd991b3ce660e205b264bbd332f27cc649b5d4ac9472bd1b8892350f9e6acc09,authored,review_required,
scripts/build_manifest.py,build_tool,n/a,text/x-python,,,,9722,a505eb246d02b0065768987e49ee9c0bf18761fff10e6ffa9afe11912dc89ecb,local_tooling,internal,
scripts/build_videos.py,build_tool,n/a,text/x-python,,,,16062,2acc52e998176a67b8a84783a4c76d2e2c937066468adbca12171b2d946dd87f,local_tooling,internal,
scripts/validate_assets.py,build_tool,n/a,text/x-python,,,,3690,c7f849c0d74a39544fe61f6c6b42086b24390363dc93724f060846c323a3249d,local_tooling,internal,
videos/vinos-product-tour-en.mp4,product_video,en,video/mp4,1280,720,19.42,1644606,a39e1b9be46ec11557a3348143cce62274bf8907e9a627293a0972208ea7cca3,derived_from_product_screens,review_required,Silent English VinOS product tour showing vineyard and cellar workflows.
videos/vinos-product-tour-ka.mp4,product_video,ka-GE,video/mp4,1280,720,19.42,1924149,67928b2cc6af245f0d225b20c8d6d11ca37773d01310c870d85b207b1e12a219,derived_from_product_screens,review_required,"VinOS-ის უხმო ქართული პროდუქტის ვიდეო, რომელიც ვენახისა და მარნის სამუშაო პროცესებს აჩვენებს."
